,D0V1,D0V2,D0V3,D0V4,D0V5,D0V6,D10S1,D10S2,D10S3,D10S4,D10S5,D10S6,D10SBd1,D10SBd2,D10SBd3,D10SBd4,D10SBd5,D10SBd6,D10V1,D10V3,D10V4,D10V5,D10V6,D10V7,D10VBd1,D10VBd2,D10VBd3,D10VBd4,D10VBd5,D10VBd6,D21S10,D21S11,D21S5,D21S7,D21S8,D21S9,D21SBd12,D21SBd13,D21SBd14,D21SBd7,D21SBd8,D21SBd9,D21V11,D21V12,D21V13,D21V14,D21V16,D21V7,D21VBd11,D21VBd13,D21VBd14,D21VBd7,D21VBd9
ASV113,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,153,0,0,564,0
ASV115,0,7,0,0,50,122,20,0,0,0,33,0,0,0,117,12,0,35,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,50,20,0,117,42,88,0,0,45,0,0,0,0,100,0,0
ASV116,0,35,38,0,0,55,0,0,0,0,0,0,46,34,0,0,0,0,0,33,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,50,26,84,0,12,65,0,25,0,30,0,40,70,73,0,101
ASV117,0,0,0,0,0,0,0,17,0,5,0,27,0,0,0,0,0,0,200,4,10,14,79,19,0,0,0,0,0,0,0,66,0,245,0,0,0,0,0,0,0,0,24,13,0,0,81,138,16,0,0,0,0
ASV118,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,22,0,0,0,615,0,0,0,0,0,0,19,67,0,66,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ASV120,0,0,0,0,0,0,34,39,7,0,0,0,0,0,0,0,0,0,114,0,20,0,15,0,0,0,0,0,0,0,73,19,235,30,44,0,12,0,13,0,10,33,23,91,0,32,10,69,21,0,0,0,0
ASV121,0,0,0,0,0,0,0,20,0,0,33,52,29,0,0,26,341,34,0,0,0,0,16,0,0,49,0,18,0,0,0,0,47,0,27,0,24,0,0,0,21,152,0,0,0,0,0,0,0,0,0,0,0
ASV122,0,0,0,0,0,0,0,0,0,0,0,0,410,0,18,95,137,0,0,0,0,0,0,0,39,135,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
ASV123,0,0,0,0,0,0,40,114,97,0,0,33,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,55,0,339,0,51,15,0,0,0,0,0,0,0,0,0,63,23,0,28,0,0,0,0
ASV126,0,67,0,24,20,0,0,21,0,0,0,35,0,0,126,0,0,26,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,140,31,0,0,74,34,0,0,66,84,28,0,0
ASV129,0,0,0,0,0,0,185,58,435,0,30,101,0,0,0,0,0,0,4,0,0,0,7,42,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV130,0,0,0,0,0,0,85,118,0,0,0,7,0,0,0,0,0,0,142,0,0,11,0,0,0,0,0,0,0,0,5,68,0,42,89,0,0,0,0,0,37,23,0,0,0,0,147,73,6,0,0,0,0
ASV131,0,0,0,0,0,0,19,30,17,0,7,0,21,0,0,18,17,0,49,0,0,0,23,10,33,26,147,0,35,0,0,0,95,9,82,0,0,0,0,0,17,0,0,0,0,66,58,35,13,0,0,17,0
ASV133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,89,0,0,0,0,0,0,24,518,6,0,0,19,0,0,0,0,0,0,0,0,0,17,5,66,0,0,89,0,0
ASV134,67,0,0,35,0,0,60,76,60,0,39,64,23,0,0,0,95,0,0,0,0,0,0,0,54,119,59,0,32,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,36,0,0,0,0
ASV135,0,0,0,0,0,0,0,20,19,0,26,11,57,0,45,21,143,0,19,0,0,0,10,0,10,6,13,0,9,0,0,18,148,43,12,0,29,0,0,22,15,37,0,0,0,12,0,15,21,0,0,46,0
ASV136,0,0,0,0,0,0,27,38,36,0,46,30,0,0,0,0,0,0,62,0,0,11,14,0,0,0,0,0,68,0,28,0,153,0,99,0,0,0,0,0,0,0,0,0,0,96,0,35,47,0,21,0,0
ASV138,0,0,0,0,0,0,77,151,151,33,0,86,0,0,0,0,0,0,17,9,7,0,24,0,28,0,23,0,0,0,45,22,76,46,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
